time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,residuals,imb1,imb2,residual_later,mid1_later,mid2_later,imb1_later,imb2_later,pnl,mid1_diff,mid2_diff,residual_bucket,imb1_bucket,imb2_bucket,avg_pnl,G1_It,G2_It
2020-11-23 15:41:49.108311+00:00,18.95,8018,18.96,8288,13.79,2527,13.8,1007,18.955,13.795,0.00016134665754918842,0.4917208389549859,0.7150537634408602,0.0032860324675674235,18.965,13.805,0.2818868138729636,0.5261134976260456,0.003124685810018235,0.010000000000001563,0.009999999999999787,3,1,2,-0.00036310677064255045,0.0,0.00250980392156869
2020-11-23 15:41:59.133980+00:00,18.96,4966,18.97,12651,13.8,2327,13.81,2096,18.965,13.805,0.0032860324675674235,0.2818868138729636,0.5261134976260456,0.0032860324675674235,18.965,13.805,0.24911437246963564,0.608324439701174,0.0,0.0,0.0,4,0,1,-0.00173782633492586,-0.001859903381642361,0.0
2020-11-23 15:42:09.142515+00:00,18.96,3938,18.97,11870,13.8,2850,13.81,1835,18.965,13.805,0.0032860324675674235,0.24911437246963564,0.608324439701174,-0.0035892817224194573,18.965,13.815000000000001,0.4774406332453826,0.45741324921135645,-0.006875314189986881,0.0,0.010000000000001563,4,0,1,-0.00173782633492586,-0.001859903381642361,0.0
2020-11-23 15:42:19.159326+00:00,18.96,7238,18.97,7922,13.81,2320,13.82,2752,18.965,13.815000000000001,-0.0035892817224194573,0.4774406332453826,0.45741324921135645,0.0032860324675674235,18.965,13.805,0.30189478782008594,0.6228218100056211,0.006875314189986881,0.0,-0.010000000000001563,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:42:29.175628+00:00,18.96,4987,18.97,11532,13.8,3324,13.81,2013,18.965,13.805,0.0032860324675674235,0.30189478782008594,0.6228218100056211,-0.0035892817224194573,18.965,13.815000000000001,0.6576361797428117,0.7616701853155056,-0.006875314189986881,0.0,0.010000000000001563,4,0,1,-0.00173782633492586,-0.001859903381642361,0.0
2020-11-23 15:42:39.193700+00:00,18.96,9103,18.97,4739,13.81,3247,13.82,1016,18.965,13.815000000000001,-0.0035892817224194573,0.6576361797428117,0.7616701853155056,-0.00046459591240477494,18.975,13.825,0.3695885702008809,0.49506726457399103,0.0031246858100146824,0.010000000000001563,0.00999999999999801,1,1,2,0.00173782633492586,0.0,0.00250980392156869
2020-11-23 15:42:49.209004+00:00,18.97,6881,18.98,11737,13.82,2208,13.83,2252,18.975,13.825,-0.00046459591240477494,0.3695885702008809,0.49506726457399103,-0.00046459591240477494,18.975,13.825,0.29728055852710994,0.2745672436750999,0.0,0.0,0.0,2,1,1,0.00036310677064255045,0.0,0.0
2020-11-23 15:42:59.226734+00:00,18.97,5280,18.98,12481,13.82,1031,13.83,2724,18.975,13.825,-0.00046459591240477494,0.29728055852710994,0.2745672436750999,-0.00046459591240477494,18.975,13.825,0.24708638712002884,0.3206959231368476,0.0,0.0,0.0,2,0,0,0.00036310677064255045,-0.001859903381642361,-0.00250980392156869
2020-11-23 15:43:09.245504+00:00,18.97,4113,18.98,12533,13.82,1235,13.83,2616,18.975,13.825,-0.00046459591240477494,0.24708638712002884,0.3206959231368476,-0.00046459591240477494,18.975,13.825,0.44735858460004985,0.4792801326071513,0.0,0.0,0.0,2,0,0,0.00036310677064255045,-0.001859903381642361,-0.00250980392156869
2020-11-23 15:43:19.260089+00:00,18.97,7181,18.98,8871,13.82,2024,13.83,2199,18.975,13.825,-0.00046459591240477494,0.44735858460004985,0.4792801326071513,-0.00046459591240477494,18.975,13.825,0.623524757697633,0.7694796441089242,0.0,0.0,0.0,2,1,1,0.00036310677064255045,0.0,0.0
2020-11-23 15:43:29.278671+00:00,18.97,9457,18.98,5710,13.82,2854,13.83,855,18.975,13.825,-0.00046459591240477494,0.623524757697633,0.7694796441089242,0.006410718277582106,18.975,13.815000000000001,0.10802767052767052,0.5861403132375027,0.006875314189986881,0.0,-0.00999999999999801,2,1,2,0.00036310677064255045,0.0,0.00250980392156869
2020-11-23 15:43:39.296133+00:00,18.97,1343,18.98,11089,13.81,2732,13.82,1929,18.975,13.815000000000001,0.006410718277582106,0.10802767052767052,0.5861403132375027,-0.00046459591240477494,18.975,13.825,0.37812107059457517,0.39467148340483177,-0.006875314189986881,0.0,0.00999999999999801,5,0,1,-0.004148445096547409,-0.001859903381642361,0.0
2020-11-23 15:43:49.062054+00:00,18.96,10426,18.97,7070,13.81,2961,13.82,1877,18.965,13.815000000000001,-0.0035892817224194573,0.5959076360310929,0.6120297643654402,-0.00046459591240477494,18.975,13.825,0.37812107059457517,0.39467148340483177,0.0031246858100146824,0.010000000000001563,0.00999999999999801,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:43:59.078228+00:00,18.97,6315,18.98,10386,13.82,1748,13.83,2681,18.975,13.825,-0.00046459591240477494,0.37812107059457517,0.39467148340483177,-0.00046459591240477494,18.975,13.825,0.637052816239584,0.7343268242548818,0.0,0.0,0.0,2,1,1,0.00036310677064255045,0.0,0.0
2020-11-23 15:44:09.226388+00:00,18.97,10168,18.98,5793,13.82,2858,13.83,1034,18.975,13.825,-0.00046459591240477494,0.637052816239584,0.7343268242548818,-0.007339910102391656,18.975,13.835,0.6666666666666666,0.4046692607003891,-0.006875314189986881,0.0,0.010000000000001563,2,1,2,0.00036310677064255045,0.0,0.00250980392156869
2020-11-23 15:44:19.243376+00:00,18.97,10488,18.98,5244,13.83,1456,13.84,2142,18.975,13.835,-0.007339910102391656,0.6666666666666666,0.4046692607003891,-0.004215224292380526,18.985,13.844999999999999,0.484897616045157,0.43723895361617937,0.0031246858100111297,0.00999999999999801,0.00999999999999801,0,2,1,0.004148445096547409,0.001859903381642361,0.0
2020-11-23 15:44:29.265008+00:00,18.98,8075,18.99,8578,13.84,1989,13.85,2560,18.985,13.844999999999999,-0.004215224292380526,0.484897616045157,0.43723895361617937,-0.004215224292380526,18.985,13.844999999999999,0.8215699976706266,0.8326703792097587,0.0,0.0,0.0,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:44:39.278868+00:00,18.98,10581,18.99,2298,13.84,3140,13.85,631,18.985,13.844999999999999,-0.004215224292380526,0.8215699976706266,0.8326703792097587,-0.004215224292380526,18.985,13.844999999999999,0.6366114897760468,0.4694901086653664,0.0,0.0,0.0,1,2,2,0.00173782633492586,0.001859903381642361,0.00250980392156869
2020-11-23 15:44:49.295786+00:00,18.98,9807,18.99,5598,13.84,1685,13.85,1904,18.985,13.844999999999999,-0.004215224292380526,0.6366114897760468,0.4694901086653664,-0.004215224292380526,18.985,13.844999999999999,0.595833559377204,0.4629754670267837,0.0,0.0,0.0,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:44:59.062339+00:00,18.98,9780,18.99,5594,13.84,1666,13.85,1864,18.985,13.844999999999999,-0.004215224292380526,0.6361389358657473,0.47195467422096316,-0.004215224292380526,18.985,13.844999999999999,0.595833559377204,0.4629754670267837,0.0,0.0,0.0,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:45:09.081459+00:00,18.98,10983,18.99,7450,13.84,2057,13.85,2386,18.985,13.844999999999999,-0.004215224292380526,0.595833559377204,0.4629754670267837,0.0026600898976063547,18.985,13.835,0.2376275028333963,0.7551128818061089,0.006875314189986881,0.0,-0.00999999999999801,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:45:19.097309+00:00,18.98,1887,18.99,6054,13.83,2843,13.84,922,18.985,13.835,0.0026600898976063547,0.2376275028333963,0.7551128818061089,-0.007339910102391656,18.975,13.835,0.5696368848542761,0.006488824801730353,-0.00999999999999801,-0.00999999999999801,0.0,3,0,2,-0.00036310677064255045,-0.001859903381642361,0.00250980392156869
2020-11-23 15:45:29.113687+00:00,18.97,9538,18.98,7206,13.83,18,13.84,2756,18.975,13.835,-0.007339910102391656,0.5696368848542761,0.006488824801730353,-0.00046459591240477494,18.975,13.825,0.3388945636136647,0.4134501539190149,0.006875314189986881,0.0,-0.010000000000001563,0,1,0,0.004148445096547409,0.0,-0.00250980392156869
2020-11-23 15:45:39.132599+00:00,18.97,5972,18.98,11650,13.82,1746,13.83,2477,18.975,13.825,-0.00046459591240477494,0.3388945636136647,0.4134501539190149,-0.0035892817224194573,18.965,13.815000000000001,0.5765835427540434,0.5855728429985856,-0.0031246858100146824,-0.010000000000001563,-0.00999999999999801,2,1,1,0.00036310677064255045,0.0,0.0
2020-11-23 15:45:49.149825+00:00,18.96,8948,18.97,6571,13.81,2070,13.82,1465,18.965,13.815000000000001,-0.0035892817224194573,0.5765835427540434,0.5855728429985856,-0.0035892817224194573,18.965,13.815000000000001,0.6066720306987683,0.6468330134357005,0.0,0.0,0.0,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:45:59.166109+00:00,18.96,9802,18.97,6355,13.81,2022,13.82,1104,18.965,13.815000000000001,-0.0035892817224194573,0.6066720306987683,0.6468330134357005,-0.0035892817224194573,18.965,13.815000000000001,0.6059500247402276,0.5667859272510435,0.0,0.0,0.0,1,1,1,0.00173782633492586,0.0,0.0
2020-11-23 15:46:09.184959+00:00,18.96,9797,18.97,6371,13.81,1901,13.82,1453,18.965,13.815000000000001,-0.0035892817224194573,0.6059500247402276,0.5667859272510435,-0.0035892817224194573,18.965,13.815000000000001,0.4700393722021466,0.3111876075731497,0.0,0.0,0.0,1,1,1,0.00173782633492586,0.0,0.0
