,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
0,2020-12-02 09:47:04.433941-05:00,18.53,11355,18.54,5881,13.19,2393,13.2,2115
1,2020-12-02 09:47:10.402234-05:00,18.53,10704,18.54,6249,13.18,3113,13.19,612
2,2020-12-02 09:47:20.424729-05:00,18.53,11963,18.54,1613,13.19,3217,13.2,1337
3,2020-12-02 09:47:30.405208-05:00,18.53,11583,18.54,5206,13.19,1835,13.2,2135
4,2020-12-02 09:47:40.424286-05:00,18.53,10272,18.54,7060,13.18,3150,13.19,1282
5,2020-12-02 09:47:50.440561-05:00,18.53,11663,18.54,4454,13.19,2161,13.2,1492
6,2020-12-02 09:48:00.459858-05:00,18.53,11732,18.54,4197,13.19,2403,13.2,1274
7,2020-12-02 09:48:10.552492-05:00,18.54,3472,18.55,11055,13.19,2700,13.2,1876
8,2020-12-02 09:48:20.570411-05:00,18.54,6020,18.55,10690,13.2,1374,13.21,2222
9,2020-12-02 09:48:30.588345-05:00,18.54,5436,18.55,10815,13.2,931,13.21,2261
10,2020-12-02 09:48:40.568625-05:00,18.54,1915,18.55,10959,13.19,2258,13.2,1967
11,2020-12-02 09:48:50.439009-05:00,18.54,6379,18.55,10721,13.19,2986,13.2,350
12,2020-12-02 09:49:00.404793-05:00,18.54,7545,18.55,8749,13.2,1863,13.21,2216
13,2020-12-02 09:49:10.424900-05:00,18.54,2276,18.55,10942,13.19,2164,13.2,2183
14,2020-12-02 09:49:20.445643-05:00,18.53,8978,18.54,10347,13.18,2849,13.19,1574
15,2020-12-02 09:49:30.467445-05:00,18.53,8978,18.54,10347,13.18,2887,13.19,981
16,2020-12-02 09:49:30.468445-05:00,18.53,11648,18.54,7411,13.18,2887,13.19,981
17,2020-12-02 09:49:40.408322-05:00,18.53,9912,18.54,7648,13.18,2780,13.19,1288
18,2020-12-02 09:49:50.648958-05:00,18.53,8171,18.54,9622,13.18,2614,13.19,1378
19,2020-12-02 09:50:00.508995-05:00,18.53,3702,18.54,5487,13.18,1701,13.19,987
20,2020-12-02 09:50:10.528528-05:00,18.53,8582,18.54,7309,13.18,2439,13.19,1254
21,2020-12-02 09:50:20.550391-05:00,18.53,7801,18.54,9015,13.18,2385,13.19,1390
22,2020-12-02 09:50:30.699418-05:00,18.53,9335,18.54,6973,13.18,2440,13.19,868
23,2020-12-02 09:50:40.477284-05:00,18.52,11169,18.53,5477,13.17,2597,13.18,1161
24,2020-12-02 09:50:50.501103-05:00,18.52,11247,18.53,6183,13.17,2827,13.18,1369
25,2020-12-02 09:51:00.587396-05:00,18.52,10871,18.53,5525,13.17,2504,13.18,1452
26,2020-12-02 09:51:10.486604-05:00,18.52,8240,18.53,10475,13.17,1954,13.18,2301
27,2020-12-02 09:51:20.506518-05:00,18.52,9423,18.53,8077,13.17,2064,13.18,1729
28,2020-12-02 09:51:30.523611-05:00,18.52,8198,18.53,9451,13.17,1957,13.18,2072
29,2020-12-02 09:51:40.542099-05:00,18.52,8093,18.53,10544,13.17,1966,13.18,2353
30,2020-12-02 09:51:50.559329-05:00,18.52,7290,18.53,10470,13.16,3225,13.17,730
31,2020-12-02 09:52:00.592696-05:00,18.51,10994,18.52,7778,13.16,1487,13.17,2276
32,2020-12-02 09:52:10.561384-05:00,18.51,6740,18.52,11386,13.15,2643,13.16,1967
33,2020-12-02 09:52:20.581445-05:00,18.51,10045,18.52,6904,13.16,3128,13.17,1842
34,2020-12-02 09:52:29.290587-05:00,18.51,10482,18.52,3782,13.16,3559,13.17,1464
35,2020-12-02 09:52:39.318997-05:00,18.51,9839,18.52,7019,13.16,2554,13.17,2259
