time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,residuals,imb1,imb2,residual_later,mid1_later,mid2_later,imb1_later,imb2_later,pnl,mid1_diff,mid2_diff,residual_bucket,imb1_bucket,imb2_bucket,avg_pnl,G1_It,G2_It,dM1,dM2,residual_bucket_later,imb1_bucket_later,imb2_bucket_later,current_state,later_state,micro1_adj,micro2_adj,micro1,micro2
2020-11-23 15:43:59.078228+00:00,18.97,6315,18.98,10386,13.82,1748,13.83,2681,18.975,13.825,-0.0004645959124047749,0.3781210705945752,0.39467148340483177,-0.0004645959124047749,18.975,13.825,0.637052816239584,0.7343268242548818,0.0,0.0,0.0,2,1,1,0.0003631067706425505,0.0,0.0,0,0,2,1,2,211,21200,0.0010557066260642625,-0.0006407035508193031,18.976055706626067,13.82435929644918
2020-11-23 15:44:09.226388+00:00,18.97,10168,18.98,5793,13.82,2858,13.83,1034,18.975,13.825,-0.0004645959124047749,0.637052816239584,0.7343268242548818,-0.007339910102391657,18.975,13.835,0.6666666666666666,0.4046692607003891,-0.006875314189986881,0.0,0.010000000000001565,2,1,2,0.0003631067706425505,0.0,0.00250980392156869,0,1,0,2,1,212,02101,0.002409204929044232,0.0017450179956958304,18.977409204929046,13.826745017995695
2020-11-23 15:44:29.265008+00:00,18.98,8075,18.99,8578,13.84,1989,13.85,2560,18.985,13.845,-0.004215224292380526,0.484897616045157,0.43723895361617937,-0.004215224292380526,18.985,13.845,0.8215699976706266,0.8326703792097587,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,2,2,111,12200,0.0024932832384759185,-0.004488131640785332,18.987493283238475,13.840511868359215
2020-11-23 15:44:39.278868+00:00,18.98,10581,18.99,2298,13.84,3140,13.85,631,18.985,13.845,-0.004215224292380526,0.8215699976706266,0.8326703792097587,-0.004215224292380526,18.985,13.845,0.6366114897760468,0.4694901086653664,0.0,0.0,0.0,1,2,2,0.0017378263349258599,0.001859903381642361,0.00250980392156869,0,0,1,1,1,122,11100,0.0043361171049797675,-0.0014776135393085113,18.98933611710498,13.843522386460693
2020-11-23 15:44:49.295786+00:00,18.98,9807,18.99,5598,13.84,1685,13.85,1904,18.985,13.845,-0.004215224292380526,0.6366114897760468,0.4694901086653664,-0.004215224292380526,18.985,13.845,0.595833559377204,0.4629754670267837,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.987493283238475,13.840511868359215
2020-11-23 15:44:59.062339+00:00,18.98,9780,18.99,5594,13.84,1666,13.85,1864,18.985,13.845,-0.004215224292380526,0.6361389358657473,0.4719546742209632,-0.004215224292380526,18.985,13.845,0.595833559377204,0.4629754670267837,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.987493283238475,13.840511868359215
2020-11-23 15:45:09.081459+00:00,18.98,10983,18.99,7450,13.84,2057,13.85,2386,18.985,13.845,-0.004215224292380526,0.595833559377204,0.4629754670267837,0.002660089897606355,18.985,13.835,0.2376275028333963,0.7551128818061089,0.006875314189986881,0.0,-0.009999999999998007,1,1,1,0.0017378263349258599,0.0,0.0,0,-1,3,0,2,111,3020-1,0.0024932832384759185,-0.004488131640785332,18.987493283238475,13.840511868359215
2020-11-23 15:45:19.097309+00:00,18.98,1887,18.99,6054,13.83,2843,13.84,922,18.985,13.835,0.002660089897606355,0.2376275028333963,0.7551128818061089,-0.007339910102391657,18.975,13.835,0.5696368848542761,0.006488824801730353,-0.009999999999998007,-0.009999999999998007,0.0,3,0,2,-0.0003631067706425505,-0.001859903381642361,0.00250980392156869,-1,0,0,1,0,302,010-10,-0.004782326336552226,-0.00353363664569647,18.980217673663446,13.831466363354304
2020-11-23 15:45:29.113687+00:00,18.97,9538,18.98,7206,13.83,18,13.84,2756,18.975,13.835,-0.007339910102391657,0.5696368848542761,0.006488824801730353,-0.0004645959124047749,18.975,13.825,0.3388945636136647,0.4134501539190149,0.006875314189986881,0.0,-0.010000000000001565,0,1,0,0.0041484450965474096,0.0,-0.00250980392156869,0,-1,2,1,1,10,2110-1,,,,
2020-11-23 15:45:49.149825+00:00,18.96,8948,18.97,6571,13.81,2070,13.82,1465,18.965,13.815,-0.003589281722419457,0.5765835427540434,0.5855728429985856,-0.003589281722419457,18.965,13.815,0.6066720306987683,0.6468330134357005,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
